Metabolite,contrast,Genotype,estimate_log2,SE,df,t_ratio,raw_p,label1,label2,Direction,p_adj_BH_global
Thiamine pyrophosphate,Female - Male,4s2M,0.5624967555978289,0.37266437729738355,15,1.509392337623299,0.15197301800027954,Female,Male,Female > Male,0.5330745862163652
Thiourea,Female - Male,4s2-,-0.6885415342688155,0.3864908561081833,15,-1.781520890823054,0.09508003366236967,Female,Male,Male > Female,0.4341050998241392
Thiourea,Female - Male,4s2M,0.28216498075326346,0.4233795203198707,15,0.6664587378720701,0.5152385231846164,Female,Male,Female > Male,0.8603859003080148
Thymidine,Female - Male,4s2-,0.09672197544179897,0.5225959766342044,15,0.18507983177509296,0.8556456883840997,Female,Male,Female > Male,0.9754360847578736
Thymidine,Female - Male,4s2M,0.586440368501464,0.5724752097279929,15,1.024394346752773,0.32188666296190743,Female,Male,Female > Male,0.7056746072626433
Thymine,Female - Male,4s2-,-0.18607956411194393,0.1753225927435133,15,-1.0613553062392105,0.3053191114386246,Female,Male,Male > Female,0.6902812917059069
Thymine,Female - Male,4s2M,-0.043095597228618415,0.19205627777182757,15,-0.2243904637151103,0.825481363067099,Female,Male,Male > Female,0.9751800558512879
Thyrotropin releasing hormone,Female - Male,4s2-,-0.6050149371925394,0.3460312710023856,15,-1.7484400627721541,0.10081741348041058,Female,Male,Male > Female,0.4341050998241392
Thyrotropin releasing hormone,Female - Male,4s2M,-0.312830432129242,0.3790582654603798,15,-0.8252832364684048,0.4221424081842242,Female,Male,Male > Female,0.8297281816034752
trans-Aconitic acid,Female - Male,4s2-,-0.19099611882476647,0.27243330479308464,15,-0.701074778540126,0.4939896899490248,Female,Male,Male > Female,0.8597683153311272
trans-Aconitic acid,Female - Male,4s2M,0.010575143312533106,0.2984357329017055,15,0.03543524500136247,0.9721999448242621,Female,Male,Female > Male,0.9842990621904806
Trigonelline,Female - Male,4s2-,-0.628473306217294,0.21134395080625643,15,-2.973699052278194,0.009466118654306944,Female,Male,Male > Female,0.13489219082387396
Trigonelline,Female - Male,4s2M,-0.08683362337754358,0.2315156984976976,15,-0.37506581169659703,0.7128616824784906,Female,Male,Male > Female,0.9427591568282391
Trimethyllysine,Female - Male,4s2-,-1.4391072554381212,0.4149215596963106,15,-3.468383895238976,0.0034396007426586157,Female,Male,Male > Female,0.1097333637880563
Trimethyllysine,Female - Male,4s2M,-0.39842800779525245,0.4545237956817914,15,-0.8765833859096539,0.39453510741643993,Female,Male,Male > Female,0.7963182457260645
Tyramine,Female - Male,4s2-,-0.27492129055399334,0.2592858539224637,15,-1.0603019269852076,0.3057825020276167,Female,Male,Male > Female,0.6902812917059069
Tyramine,Female - Male,4s2M,-0.16523621025599017,0.28403342207064547,15,-0.58174917955568,0.5693760940658306,Female,Male,Male > Female,0.8713363648006438
Uracil,Female - Male,4s2-,-0.44494973559555395,0.287758686859871,15,-1.5462599598677966,0.14287653143603718,Female,Male,Male > Female,0.5330745862163652
Uracil,Female - Male,4s2M,0.40249561634247844,0.31522384782243357,15,1.2768564914200442,0.22106599147827577,Female,Male,Female > Male,0.5969168967355544
Urea,Female - Male,4s2-,-0.03376982420544769,0.07366835284302553,15,-0.4584034107210911,0.6532339297751316,Female,Male,Male > Female,0.9145661700061103
Urea,Female - Male,4s2M,-0.011474838224491827,0.08069963725274984,15,-0.14219194305115446,0.8888206881290703,Female,Male,Male > Female,0.9777183940268404
Uridine 5-monophosphate (UMP),Female - Male,4s2-,-1.1619993364512762,0.5240411847564408,15,-2.217381706346878,0.04246171074870237,Female,Male,Male > Female,0.2847432367854159
Uridine 5-monophosphate (UMP),Female - Male,4s2M,-0.25731612039605295,0.5740583559056701,15,-0.4482403535265941,0.6603863709799276,Female,Male,Male > Female,0.9145661700061103
Uridine,Female - Male,4s2-,-0.47141897092834634,0.22497397857136897,15,-2.095437765389374,0.05351247690447278,Female,Male,Male > Female,0.321365274405451
Uridine,Female - Male,4s2M,0.352287160117515,0.2464466458304453,15,1.4294662397632618,0.17336649090313633,Female,Male,Female > Male,0.5527589425616366
Valine,Female - Male,4s2-,-0.4891551321910586,0.2368486832837273,15,-2.065264308879804,0.05662873464581729,Female,Male,Male > Female,0.321365274405451
Valine,Female - Male,4s2M,0.430938795119496,0.2594547330997884,15,1.6609401955051384,0.11747836583424391,Female,Male,Female > Male,0.4649466862432561
Vanillin,Female - Male,4s2-,-0.2292819105892294,0.1712055709246556,15,-1.3392199176166535,0.20044013670762773,Female,Male,Male > Female,0.571254389616739
Vanillin,Female - Male,4s2M,-0.22247499481526592,0.18754630633196898,15,-1.186240343339372,0.25397752056040857,Female,Male,Male > Female,0.6363392822832215
Xanthine,Female - Male,4s2-,-0.030204258403129403,0.2177658168972725,15,-0.13870064105321805,0.8915316819471892,Female,Male,Male > Female,0.9777183940268404
Xanthine,Female - Male,4s2M,0.14030548715780447,0.23855050033635164,15,0.5881584275026731,0.5651770610057878,Female,Male,Female > Male,0.8713363648006438
