Lipids,contrast,Genotype,estimate_log2,SE,df,t_ratio,p_adj,raw_p,label1,label2,adj_method,Direction
PI(18:0_20:4),F - M,4s2-,-0.19261195538757464,0.20974630638720473,15,-0.9183091645580684,0.3729878030642262,0.3729878030642262,F,M,BH,M > F
PI(18:0_20:4),F - M,4s2M,0.015409730902720672,0.21492600748915644,15,0.07169784188867014,0.9437896189386562,0.9437896189386562,F,M,BH,F > M
PE(16:0_20:4),F - M,4s2-,-0.0839471329236075,0.2652806428128327,15,-0.31644650749295694,0.7560246348607765,0.7560246348607765,F,M,BH,M > F
PE(16:0_20:4),F - M,4s2M,-0.08582601820757316,0.2718317686065211,15,-0.31573211125226164,0.756556229929552,0.756556229929552,F,M,BH,M > F
PE(P-18:0/22:4),F - M,4s2-,0.02003112673169089,0.28479710498996647,15,0.07033472735755722,0.9448563906999851,0.9448563906999851,F,M,BH,F > M
PE(P-18:0/22:4),F - M,4s2M,0.10264124155798313,0.29183019131200133,15,0.3517156367424897,0.729943567066685,0.729943567066685,F,M,BH,F > M
PC(40:7),F - M,4s2-,-0.07248921421633091,0.08461548701178313,15,-0.8566896767519215,0.4050953506218389,0.4050953506218389,F,M,BH,M > F
PC(40:7),F - M,4s2M,-0.09738697344967544,0.08670507294474357,15,-1.1231981029730447,0.27900943919072047,0.27900943919072047,F,M,BH,M > F
PE(P-16:0/18:1),F - M,4s2-,0.17774706592658668,0.24215701240549076,15,0.7340157700201143,0.47425727053779143,0.47425727053779143,F,M,BH,F > M
PE(P-16:0/18:1),F - M,4s2M,0.05339577696613941,0.24813709837509315,15,0.21518659368469117,0.8325202668213395,0.8325202668213395,F,M,BH,F > M
TG(52:2),F - M,4s2-,0.167101280458549,0.5686555279730183,15,0.29385325955448666,0.772896993834881,0.772896993834881,F,M,BH,F > M
TG(52:2),F - M,4s2M,0.46980212950342903,0.5826985197930281,15,0.8062524848532319,0.43269459716006387,0.43269459716006387,F,M,BH,F > M
SHexCer(d18:1/24:1),F - M,4s2-,0.030557024585501392,0.17651074283617305,15,0.1731170811164884,0.8648738217899143,0.8648738217899143,F,M,BH,F > M
SHexCer(d18:1/24:1),F - M,4s2M,0.01086532661310291,0.18086968915052212,15,0.06007267809290391,0.952890812221685,0.952890812221685,F,M,BH,F > M
PE(18:0_20:3),F - M,4s2-,0.2955061037454123,0.3016815314482648,15,0.9795299776117998,0.3428533948746222,0.3428533948746222,F,M,BH,F > M
PE(18:0_20:3),F - M,4s2M,-0.41332916741730286,0.3091315799749662,15,-1.3370654898822523,0.20112599461096647,0.20112599461096647,F,M,BH,M > F
PE(P-18:0/20:4),F - M,4s2-,-0.09722837926835329,0.18108841969439976,15,-0.5369110815171585,0.5992032678019503,0.5992032678019503,F,M,BH,M > F
PE(P-18:0/20:4),F - M,4s2M,-0.03022251474962564,0.1855604120893943,15,-0.16287156516480383,0.8727935133707025,0.8727935133707025,F,M,BH,M > F
TG(50:1),F - M,4s2-,0.16207457065494346,0.378850202886771,15,0.42780647712463693,0.6748705275706008,0.6748705275706008,F,M,BH,F > M
TG(50:1),F - M,4s2M,0.24136800924048524,0.38820593766545475,15,0.6217524922261483,0.5434396641651591,0.5434396641651591,F,M,BH,F > M
