Subclass,contrast,estimate_log2,SE,df,t_ratio,p_adj,raw_p,label1,label2,adj_method,Direction,p_adj_BH_global
S1P,(F 4s2-) - (M 4s2-),-0.13914391599653517,0.30010549055467906,15,-0.46365001766331637,0.8689201441895922,0.6495551803104467,(F 4s2-),(M 4s2-),BH,(M 4s2-) > (F 4s2-),0.9916131744224951
S1P,(F 4s2-) - F 4s2M,-0.21495545669445756,0.2419527816531398,15,-0.888419034597481,0.8689201441895922,0.38834019191411184,(F 4s2-),F 4s2M,BH,F 4s2M > (F 4s2-),0.9916131744224951
S1P,(F 4s2-) - M 4s2M,0.05038174134252528,0.300105490554679,15,0.16788010525700717,0.8689201441895922,0.8689201441895922,(F 4s2-),M 4s2M,BH,(F 4s2-) > M 4s2M,0.9916131744224951
S1P,(M 4s2-) - F 4s2M,-0.07581154069792238,0.3075166186307949,15,-0.24652827231084343,0.8689201441895922,0.8086152433841518,(M 4s2-),F 4s2M,BH,F 4s2M > (M 4s2-),0.9916131744224951
S1P,(M 4s2-) - M 4s2M,0.18952565733906043,0.35508960509354587,15,0.5337403703753345,0.8689201441895922,0.6013417840681542,(M 4s2-),M 4s2M,BH,(M 4s2-) > M 4s2M,0.9916131744224951
S1P,F 4s2M - M 4s2M,0.26533719803698286,0.30751661863079494,15,0.8628385653379833,0.8689201441895922,0.4018115728508309,F 4s2M,M 4s2M,BH,F 4s2M > M 4s2M,0.9916131744224951
SHexCer,(F 4s2-) - (M 4s2-),0.013027276492740833,0.17468620068101945,15,0.07457530384170931,0.9415380883063368,0.9415380883063368,(F 4s2-),(M 4s2-),BH,(F 4s2-) > (M 4s2-),0.9916131744224951
SHexCer,(F 4s2-) - F 4s2M,-0.06709897316548202,0.1408365174961384,15,-0.4764316411567178,0.9415380883063368,0.6406326192576857,(F 4s2-),F 4s2M,BH,F 4s2M > (F 4s2-),0.9916131744224951
SHexCer,(F 4s2-) - M 4s2M,-0.11033043842270206,0.17468620068101942,15,-0.6315921806792724,0.9415380883063368,0.5371605983400849,(F 4s2-),M 4s2M,BH,M 4s2M > (F 4s2-),0.9916131744224951
SHexCer,(M 4s2-) - F 4s2M,-0.08012624965822286,0.1790000897870944,15,-0.4476324551207003,0.9415380883063368,0.6608152863713366,(M 4s2-),F 4s2M,BH,F 4s2M > (M 4s2-),0.9916131744224951
SHexCer,(M 4s2-) - M 4s2M,-0.1233577149154429,0.20669150004709227,15,-0.5968204540938417,0.9415380883063368,0.559528307375127,(M 4s2-),M 4s2M,BH,M 4s2M > (M 4s2-),0.9916131744224951
