Lipids,contrast,Sex,estimate_log2,SE,df,t_ratio,p_adj,raw_p,label1,label2,adj_method,Direction
CE(20:4),(4s2-) - 4s2M,F,0.43963325705265155,0.27821380531197326,15,1.5801992879529168,0.13491377739557453,0.13491377739557453,(4s2-),4s2M,BH,(4s2-) > 4s2M
CE(20:4),(4s2-) - 4s2M,M,0.3862591991195229,0.40830623886534356,15,0.9460036667402194,0.35913771329447586,0.35913771329447586,(4s2-),4s2M,BH,(4s2-) > 4s2M
PI(36:3),(4s2-) - 4s2M,F,-0.0652944367241276,0.42930972687968255,15,-0.15209167795638343,0.8811414581187964,0.8811414581187964,(4s2-),4s2M,BH,4s2M > (4s2-)
PI(36:3),(4s2-) - 4s2M,M,0.20002574098788567,0.6300544277232789,15,0.317473748594522,0.7552604695456544,0.7552604695456544,(4s2-),4s2M,BH,(4s2-) > 4s2M
LPE(16:0),(4s2-) - 4s2M,F,0.08662821936907633,0.3132493781532384,15,0.2765471391508994,0.7859020580965126,0.7859020580965126,(4s2-),4s2M,BH,(4s2-) > 4s2M
LPE(16:0),(4s2-) - 4s2M,M,0.46790444208204524,0.45972440252285385,15,1.0177933551369067,0.32491247139064705,0.32491247139064705,(4s2-),4s2M,BH,(4s2-) > 4s2M
LPC(24:0),(4s2-) - 4s2M,F,-0.20350642067043517,0.3875551266656409,15,-0.5251031573787133,0.60718642352611,0.60718642352611,(4s2-),4s2M,BH,4s2M > (4s2-)
LPC(24:0),(4s2-) - 4s2M,M,-0.09110581374680603,0.5687754277484072,15,-0.1601788848499726,0.8748773031710305,0.8748773031710305,(4s2-),4s2M,BH,4s2M > (4s2-)
PE(P-18:0/20:5),(4s2-) - 4s2M,F,0.1220724628527819,0.2538924161243584,15,0.480803896060408,0.6375934545469827,0.6375934545469827,(4s2-),4s2M,BH,(4s2-) > 4s2M
PE(P-18:0/20:5),(4s2-) - 4s2M,M,-0.2387504025849705,0.37261219797459894,15,-0.6407476832018424,0.5313544266438537,0.5313544266438537,(4s2-),4s2M,BH,4s2M > (4s2-)
PA(36:3),(4s2-) - 4s2M,F,-0.7068516102873881,0.8765204048116189,15,-0.8064291560209647,0.43259586764933233,0.43259586764933233,(4s2-),4s2M,BH,4s2M > (4s2-)
PA(36:3),(4s2-) - 4s2M,M,-0.3338302385893097,1.2863802692179285,15,-0.2595113175921659,0.798768696256241,0.798768696256241,(4s2-),4s2M,BH,4s2M > (4s2-)
AC(18:2),(4s2-) - 4s2M,F,-0.3710348533271294,0.5112340615127676,15,-0.7257631704531157,0.4791555463497329,0.4791555463497329,(4s2-),4s2M,BH,4s2M > (4s2-)
AC(18:2),(4s2-) - 4s2M,M,0.815678912834679,0.7502864805794327,15,1.087156618102388,0.2941289530908354,0.2941289530908354,(4s2-),4s2M,BH,(4s2-) > 4s2M
PE(P-18:1/22:6),(4s2-) - 4s2M,F,-0.07169313015386472,1.3061699884384748,15,-0.054888054991658324,0.9569520519760595,0.9569520519760595,(4s2-),4s2M,BH,4s2M > (4s2-)
PE(P-18:1/22:6),(4s2-) - 4s2M,M,0.0982953713265689,1.9169334702858145,15,0.051277403650275395,0.9597810969630582,0.9597810969630582,(4s2-),4s2M,BH,(4s2-) > 4s2M
Cer(d20:1/24:1),(4s2-) - 4s2M,F,-0.034772004262082164,0.23338285620845545,15,-0.14899125337220195,0.8835451726008183,0.8835451726008183,(4s2-),4s2M,BH,4s2M > (4s2-)
Cer(d20:1/24:1),(4s2-) - 4s2M,M,-0.03784885077244474,0.3425123930398459,15,-0.11050359502770352,0.9134749578591952,0.9134749578591952,(4s2-),4s2M,BH,4s2M > (4s2-)
TG(54:0),(4s2-) - 4s2M,F,0.2269697203867268,0.17871492798411964,15,1.270009858420417,0.22342932806706373,0.22342932806706373,(4s2-),4s2M,BH,(4s2-) > 4s2M
TG(54:0),(4s2-) - 4s2M,M,-0.1572953471344381,0.26228180874224305,15,-0.5997188592252687,0.5576449379014728,0.5576449379014728,(4s2-),4s2M,BH,4s2M > (4s2-)
LPC(20:0),(4s2-) - 4s2M,F,-0.1587890279507224,0.4142334991218305,15,-0.38333217445559814,0.7068516953293955,0.7068516953293955,(4s2-),4s2M,BH,4s2M > (4s2-)
LPC(20:0),(4s2-) - 4s2M,M,0.17710313417096593,0.6079285743883476,15,0.2913222730962332,0.774794680396066,0.774794680396066,(4s2-),4s2M,BH,(4s2-) > 4s2M
FA(20:5),(4s2-) - 4s2M,F,0.0904762501858209,0.35777974351224895,15,0.2528825396810743,0.803791774633723,0.803791774633723,(4s2-),4s2M,BH,(4s2-) > 4s2M
FA(20:5),(4s2-) - 4s2M,M,-0.01008692968664101,0.5250771120142068,15,-0.019210377782317222,0.9849264839608276,0.9849264839608276,(4s2-),4s2M,BH,4s2M > (4s2-)
LPC(O-18:0),(4s2-) - 4s2M,F,0.005076568788729738,0.4449111922513035,15,0.01141029687979234,0.9910464750965771,0.9910464750965771,(4s2-),4s2M,BH,(4s2-) > 4s2M
