"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Pdgfd",218.005561331215,0.407941567390793,0.123345459780019,3.30730914715739,0.000941968743668136,0.141623704323242
"Shc2",954.741793762818,-0.194026626115225,0.0589940522881573,-3.28891843481949,0.00100573164915167,0.147398458798738
"Myef2",1122.98528775972,-0.204161625695774,0.0620415564759935,-3.29072378728558,0.000999299815726181,0.147398458798738
"Syf2",1044.57988255094,0.199022926634014,0.0606816770046411,3.27978619672611,0.00103885782127253,0.147398458798738
"Zxdc",509.677727656065,-0.259283970141136,0.0789807173693199,-3.28287686890338,0.00102753536425791,0.147398458798738
"Slx4",417.59970289829,-0.3127523235037,0.0953928523601946,-3.27857188212358,0.00104333788263691,0.147398458798738
"Tprkb",1500.88808834534,0.286427432415012,0.0871098130030445,3.28811901369828,0.00100859192787574,0.147398458798738
"H2-Q6",262.560229434652,0.736618033767439,0.224591270541859,3.27981596074612,0.00103874823450307,0.147398458798738
"Ylpm1",1445.67385565517,-0.341543285083239,0.104288364442536,-3.27498937114345,0.00105665949147703,0.147635118325492
"Ddx55",400.747857035894,-0.260288291213545,0.0795415447075006,-3.27235650465059,0.00106654997124274,0.147635118325492
"Simc1",250.214123989481,-0.279876886363403,0.0856247432268891,-3.26864497125302,0.00108063802319925,0.147635118325492
"Acadm",978.217598175032,0.189708997719514,0.0580409402008783,3.26853764020596,0.00108104797406999,0.147635118325492
"Ube4b",1878.76701839601,-0.310888113905768,0.0952426149013238,-3.26417029003103,0.00109785158762574,0.148690841471163
"Phactr3",4682.57975789258,0.255584446271807,0.0784330067807017,3.25863379159261,0.00111950075182396,0.149157547324318
"Setd5",2052.2224424287,-0.190355208268252,0.0583833120832392,-3.26043866776272,0.00111240022485675,0.149157547324318
"Fam107a",22907.8195348979,0.31767672916764,0.0977236580580712,3.2507658378779,0.00115094610583089,0.15211052243836
"Lig4",184.677231140936,-0.42681137516445,0.131436520962525,-3.24728144079636,0.00116513112587709,0.15275335112699
"Acads",345.935046642089,0.250742092197108,0.0773021891805935,3.24366094744515,0.0011800412104122,0.153292454940966
"Wdr26",2640.39419964924,-0.206093708202771,0.0635746859696884,-3.24175739225883,0.00118795104817566,0.153292454940966
"Gm35417",248.650337571292,0.332204854863165,0.102773934014515,3.23238433994602,0.00122761820352799,0.157173493120442
"Pxmp2",199.775262350054,0.447753550843202,0.138779814594797,3.22635933871603,0.00125375841067894,0.157749250581438
"Oma1",177.587442703538,0.242677932994401,0.0752556833687432,3.224712368969,0.00126099291104274,0.157749250581438
"Fbxo2",3052.44711209003,0.187928075201231,0.0582507312490463,3.22619255023186,0.00125448930007997,0.157749250581438
"Cog1",918.770692368972,-0.247382004270293,0.0767912953304084,-3.22148497698713,0.00127528148005971,0.15832812799408
"Luzp2",5071.19721068961,0.261138489620637,0.0811317920259181,3.21869495421985,0.00128775399012713,0.15867452924965
"Papss2",509.174088856925,0.387956463780183,0.1208278843129,3.21081897598669,0.00132357283963818,0.161870982805899
